year,movie,movie_genre,category,oscar_result
1941,The Philadelphia Story, Comedy: Romance,Best Picture,0
1940,Gone with the Wind, Drama: History: Romance: War,Best Picture,1
1940,Dark Victory, Drama: Romance,Best Picture,0
1940,Goodbye Mr. Chips, Drama: Romance,Best Picture,0
1940,Love Affair, Comedy: Drama: Romance,Best Picture,0
1940,Mr. Smith Goes to Washington, Comedy: Drama,Best Picture,0
1940,Ninotchka, Comedy: Romance,Best Picture,0
1940,Of Mice and Men, Drama,Best Picture,0
1940,Stagecoach, Adventure: Western,Best Picture,0
1940,The Wizard of Oz, Adventure: Family: Fantasy: Musical,Best Picture,0
1940,Wuthering Heights, Drama: Romance,Best Picture,0
1939,You Can't Take It with You, Comedy: Drama: Romance,Best Picture,1
1939,The Adventures of Robin Hood, Action: Adventure: Romance,Best Picture,0
1939,Alexander's Ragtime Band, Drama: Musical: Romance,Best Picture,0
1939,Boys Town, Biography: Drama,Best Picture,0
1939,The Citadel, Drama,Best Picture,0
1939,Four Daughters, Drama: Music: Romance,Best Picture,0
1939,La Grande Illusion, Drama: War,Best Picture,0
1939,Jezebel, Drama: Romance,Best Picture,0
1939,Pygmalion, Comedy: Drama: Romance,Best Picture,0
1939,Test Pilot, Drama: Romance,Best Picture,0
1938,The Life of Emile Zola, Biography: Drama,Best Picture,1
1938,The Awful Truth, Comedy: Romance,Best Picture,0
1938,Captains Courageous, Adventure: Drama: Family,Best Picture,0
1938,Dead End, Crime: Drama: Film-Noir,Best Picture,0
1938,The Good Earth, Drama: Romance,Best Picture,0
1938,In Old Chicago, Action: Drama: Musical: Romance,Best Picture,0
1938,Lost Horizon, Adventure: Drama: Fantasy: Mystery,Best Picture,0
1938,One Hundred Men and a Girl, Comedy: Music,Best Picture,0
1938,Stage Door, Comedy: Drama,Best Picture,0
1938,A Star Is Born, Drama,Best Picture,0
1937,The Great Ziegfeld, Biography: Drama: Musical: Romance,Best Picture,1
1937,Anthony Adverse, Adventure: Drama: Romance,Best Picture,0
1937,Dodsworth, Drama: Romance,Best Picture,0
1937,Libeled Lady, Comedy: Romance,Best Picture,0
1937,Mr. Deeds Goes to Town, Comedy: Drama: Romance,Best Picture,0
1937,Romeo and Juliet, Drama: Romance,Best Picture,0
1937,San Francisco, Drama: Musical: Romance,Best Picture,0
1937,The Story of Louis Pasteur, Biography: Drama: History,Best Picture,0
1937,A Tale of Two Cities, Drama: History: Romance,Best Picture,0
1937,Three Smart Girls, Comedy: Musical: Romance,Best Picture,0
1936,Mutiny on the Bounty, Adventure: Biography: Drama: History: Romance,Best Picture,1
1936,Alice Adams, Comedy: Drama: Romance,Best Picture,0
1936,Broadway Melody of 1936, Musical: Romance,Best Picture,0
1936,Captain Blood, Action: Adventure,Best Picture,0
1936,David Copperfield, Adventure: Drama: Romance,Best Picture,0
1936,The Informer, Crime: Drama,Best Picture,0
1936,Les Misérables, Drama: History: Romance,Best Picture,0
1936,The Lives of a Bengal Lancer, Adventure: Drama,Best Picture,0
1936,A Midsummer Night's Dream, Comedy: Fantasy: Romance,Best Picture,0
1936,Naughty Marietta, Drama: Musical: Romance,Best Picture,0
1936,Ruggles of Red Gap, Comedy: Romance,Best Picture,0
1936,Top Hat, Comedy: Musical: Romance,Best Picture,0
1935,It Happened One Night, Comedy: Romance,Best Picture,1
1935,The Barretts of Wimpole Street, Biography: Drama: Romance,Best Picture,0
1935,Cleopatra, Biography: Drama: History,Best Picture,0
1935,Flirtation Walk, Musical: Romance,Best Picture,0
1935,The Gay Divorcee, Comedy: Musical: Romance,Best Picture,0
1935,Here Comes the Navy, Comedy: Drama: Romance: War,Best Picture,0
1935,The House of Rothschild, Biography: Drama: History: War,Best Picture,0
1935,Imitation of Life, Drama: Romance,Best Picture,0
1935,One Night of Love, Music: Romance,Best Picture,0
1935,The Thin Man, Comedy: Crime: Mystery,Best Picture,0
1935,Viva Villa!, Biography: Western,Best Picture,0
1935,The White Parade, Drama,Best Picture,0
1934,Cavalcade, Drama: Romance: War,Best Picture,1
1934,42nd Street, Comedy: Musical: Romance,Best Picture,0
1934,A Farewell to Arms, Drama: Romance: War,Best Picture,0
1934,I Am a Fugitive from a Chain Gang, Crime: Drama: Film-Noir,Best Picture,0
1934,Lady for a Day, Comedy,Best Picture,0
1934,Little Women, Drama: Family: Romance,Best Picture,0
1934,The Private Life of Henry VIII., Biography: Comedy: Drama: History: Romance,Best Picture,0
1934,She Done Him Wrong, Comedy: Drama: History: Musical: Romance,Best Picture,0
1934,Smilin' Through, Drama: Romance,Best Picture,0
1934,State Fair, Comedy: Drama: Romance,Best Picture,0
1932,Grand Hotel, Drama: Romance,Best Picture,1
1932,Arrowsmith, Drama,Best Picture,0
1932,Bad Girl, Drama: Romance,Best Picture,0
1932,The Champ, Drama: Sport,Best Picture,0
1932,Five Star Final, Crime: Drama,Best Picture,0
1932,One Hour with You, Comedy: Musical: Romance,Best Picture,0
1932,Shanghai Express, Adventure: Drama: Romance: Thriller,Best Picture,0
1932,The Smiling Lieutenant, Comedy: Romance: Musical,Best Picture,0
1931,Cimarron, Drama: Western,Best Picture,1
1931,East Lynne, Drama,Best Picture,0
1931,The Front Page, Comedy,Best Picture,0
1931,Skippy, Family: Drama: Comedy,Best Picture,0
1931,Trader Horn, Adventure: Romance,Best Picture,0
1930,All Quiet on the Western Front, Drama: War,Best Picture,1
1930,The Big House, Crime: Drama: Thriller,Best Picture,0
1930,Disraeli, Biography: Drama: History,Best Picture,0
1930,The Divorcee, Romance: Drama,Best Picture,0
1930,The Love Parade, Comedy: Musical: Romance,Best Picture,0
1930,The Broadway Melody, Drama: Musical: Romance,Best Picture,1
1930,Alibi, Crime,Best Picture,0
1930,The Hollywood Revue of 1929, Musical,Best Picture,0
1930,In Old Arizona, Romance: Western,Best Picture,0
1930,The Patriot, Drama,Best Picture,0
1929,Wings, Drama: Romance: War: Action,Best Picture, Production,1
1929,The Racket, Crime: Drama: Film-Noir,Best Picture, Production,0
1929,7th Heaven, Drama: Romance,Best Picture, Production,0
