year,movie,movie_genre,category,oscar_result
1985,The Killing Fields, Biography: Drama: History: War,Best Picture,0
1985,A Passage to India, Adventure: Drama: History,Best Picture,0
1985,Places in the Heart, Drama,Best Picture,0
1985,A Soldier's Story, Crime: Drama: Mystery: War,Best Picture,0
1984,Terms of Endearment, Comedy: Drama,Best Picture,1
1984,The Big Chill, Comedy: Drama,Best Picture,0
1984,The Dresser, Drama,Best Picture,0
1984,The Right Stuff, Adventure: Biography: Drama: History,Best Picture,0
1984,Tender Mercies, Drama: Music,Best Picture,0
1983,Gandhi, Biography: Drama: History,Best Picture,1
1983,E.T. the Extra-Terrestrial, Family: Sci-Fi,Best Picture,0
1983,Missing, Biography: Drama: History: Mystery: Thriller,Best Picture,0
1983,Tootsie, Comedy: Drama: Romance,Best Picture,0
1983,The Verdict, Drama,Best Picture,0
1982,Chariots of Fire, Biography: Drama: Sport,Best Picture,1
1982,Atlantic City, Crime: Drama: Romance,Best Picture,0
1982,On Golden Pond, Drama,Best Picture,0
1982,Raiders of the Lost Ark, Action: Adventure,Best Picture,0
1982,Reds, Biography: Drama: History: Romance,Best Picture,0
1981,Ordinary People, Drama,Best Picture,1
1981,Coal Miner's Daughter, Biography: Drama: Music: Musical,Best Picture,0
1981,The Elephant Man, Biography: Drama,Best Picture,0
1981,Raging Bull, Biography: Drama: Sport,Best Picture,0
1981,Tess, Drama: Romance,Best Picture,0
1980,Kramer vs. Kramer, Drama,Best Picture,1
1980,All That Jazz, Comedy: Drama: Music: Musical,Best Picture,0
1980,Apocalypse Now, Drama: War,Best Picture,0
1980,Breaking Away, Comedy: Drama: Romance: Sport,Best Picture,0
1980,Norma Rae, Drama,Best Picture,0
1979,The Deer Hunter, Drama: War,Best Picture,1
1979,Coming Home, Drama: Romance: War,Best Picture,0
1979,Heaven Can Wait, Comedy: Fantasy: Romance: Sport,Best Picture,0
1979,Midnight Express, Biography: Crime: Drama: Thriller,Best Picture,0
1979,An Unmarried Woman, Comedy: Drama: Romance,Best Picture,0
1978,Annie Hall, Comedy: Romance,Best Picture,1
1978,The Goodbye Girl, Comedy: Drama: Romance,Best Picture,0
1978,Julia, Drama,Best Picture,0
1978,Star Wars: Episode IV - A New Hope, Action: Adventure: Fantasy: Sci-Fi,Best Picture,0
1978,The Turning Point, Drama: Romance,Best Picture,0
1977,Rocky, Drama: Sport,Best Picture,1
1977,All the President's Men, Biography: Drama: History: Thriller,Best Picture,0
1977,Bound for Glory, Biography: Drama: Music,Best Picture,0
1977,Network, Drama,Best Picture,0
1977,Taxi Driver, Crime: Drama,Best Picture,0
1976,One Flew Over the Cuckoo's Nest, Drama,Best Picture,1
1976,Barry Lyndon, Adventure: Drama: History: War,Best Picture,0
1976,Dog Day Afternoon, Biography: Crime: Drama: Thriller,Best Picture,0
1976,Jaws, Adventure: Drama: Thriller,Best Picture,0
1976,Nashville, Comedy: Drama: Music,Best Picture,0
1975,The Godfather: Part II, Crime: Drama,Best Picture,1
1975,Chinatown, Drama: Mystery: Thriller,Best Picture,0
1975,The Conversation, Drama: Mystery: Thriller,Best Picture,0
1975,Lenny, Biography: Drama,Best Picture,0
